"portcode","name","unctad","netpascode","ets","ishistorical","isactive","additionaldata","rankorder"
"DEHAM","HAMBURG","DEHAM",NULL,NULL,False,True,"{""ecaType"":""none"",""europe"":false}",1614
"SGSIN","SINGAPORE","SGSIN",NULL,NULL,False,True,"{""ecaType"":""none"",""europe"":false}",2114
"NLRTM","ROTTERDAM","NLRTM",NULL,NULL,False,True,"{""ecaType"":""none"",""europe"":false}",3856
"PLGDN","GDANSK","PLGDN",NULL,NULL,False,True,"{""ecaType"":""none"",""europe"":false}",1732
"TEST","test","test3","43432","EU-ETS",False,True,"{""ecaType"":""china"",""europe"":false}",0
"DKAAB","AABENRAA","DKAAB",NULL,NULL,False,True,NULL,151
"RUAIIS","AION IS.",NULL,NULL,NULL,False,True,NULL,0
NULL,"Alboraya",NULL,NULL,NULL,False,True,NULL,0
NULL,"Argenta",NULL,NULL,NULL,False,True,NULL,0
"IDBARS","BARUS",NULL,NULL,NULL,False,True,NULL,0
"INBARA","BARUVA",NULL,NULL,NULL,False,True,NULL,0
NULL,"Barwell",NULL,NULL,NULL,False,True,NULL,0
"GBBUCN","BUCKHAVEN",NULL,NULL,NULL,False,True,NULL,0
"USCAPE","CAPE PORPOISE",NULL,NULL,NULL,False,True,NULL,0
NULL,"CIU",NULL,NULL,NULL,False,True,NULL,0
"MXCME","CIUDAD DEL CARMEN","MXCME",NULL,NULL,False,True,NULL,0
"VNCLO","CULAO","VNCLO",NULL,NULL,False,True,NULL,0
"NLDZL","DELFZIJI","NLDZL",NULL,NULL,False,True,NULL,32
"RUDIII","DIOMEDE IS.",NULL,NULL,NULL,False,True,NULL,0
"GBDUMN","DUMBARTON",NULL,NULL,NULL,False,True,NULL,0
"IRFAIS","FARRUR IS.",NULL,NULL,NULL,False,True,NULL,0
"GBFULR","FULMER",NULL,NULL,NULL,False,True,NULL,0
"FRGRGV","GARGENVILLE",NULL,NULL,NULL,False,True,NULL,0
"TRGCK","GOCEK","TRGCK",NULL,NULL,False,True,NULL,0
"ESGUEO","GUECHO",NULL,NULL,NULL,False,True,NULL,0
"JPHAMU","HAMAMASU",NULL,NULL,NULL,False,True,NULL,0
"JPHOFU","HOFU",NULL,NULL,NULL,False,True,NULL,0
NULL,"HOYSTON",NULL,NULL,NULL,False,True,NULL,0
"FRISIY","ISIGNY",NULL,NULL,NULL,False,True,NULL,0
"IDKAJG","KAJANG",NULL,NULL,NULL,False,True,NULL,0
